idx,Date,Time,Temp,pH,DO,EC,,,
1,12/9/2023,18:48:45,24.33,8.58,11.598,1896,,,
2,12/9/2023,18:43:45,24.5,8.67,12.057,1896,,,
3,12/9/2023,18:38:45,24.52,8.69,11.101,1896,,,
4,12/9/2023,18:33:45,24.49,8.67,11.627,1896,,,
5,12/9/2023,18:28:45,24.39,8.73,13.144,1896,,,
6,12/9/2023,18:23:45,24.14,8.6,11.985,1881,,,
7,12/9/2023,18:18:45,24.47,8.55,11.072,1896,,,
8,12/9/2023,18:13:45,24.4,8.63,11.883,1896,,,
9,12/9/2023,18:08:45,24.33,8.56,12.278,1896,,,
10,12/9/2023,18:03:45,24.36,8.6,13.101,1896,,,
11,12/9/2023,17:58:45,24.5,8.65,12.978,1896,,,
12,12/9/2023,17:53:45,24.4,8.65,10.423,1896,,,
13,12/9/2023,17:48:45,24.51,8.65,13.246,1896,,,
14,12/9/2023,17:43:45,24.5,8.73,11.611,1896,,,
15,12/9/2023,17:38:45,24.47,8.68,13.589,1896,,,
16,12/9/2023,17:33:45,24.47,8.63,13.407,1896,,,
17,12/9/2023,17:28:45,24.62,8.71,13.333,1890,,,
18,12/9/2023,17:23:45,24.35,8.62,13.611,1881,,,
19,12/9/2023,17:18:45,24.57,8.73,14.282,1881,,,
20,12/9/2023,17:13:45,24.39,8.71,15.234,1890,,,
21,12/9/2023,17:08:45,24.39,8.7,13.606,1881,,,
22,12/9/2023,17:03:45,24.39,8.75,13.786,1890,,,
23,12/9/2023,16:58:45,24.79,8.74,14.901,1881,,,
24,12/9/2023,16:53:45,24.46,8.74,14.73,1881,,,
25,12/9/2023,16:48:45,24.58,8.75,14.012,1881,,,
26,12/9/2023,16:43:45,24.35,8.69,14.334,1881,,,
27,12/9/2023,16:38:45,24.49,8.76,15.004,1881,,,
28,12/9/2023,16:33:45,24.43,8.71,14.973,1881,,,
29,12/9/2023,16:28:45,24.34,8.76,15.158,1881,,,
30,12/9/2023,16:23:45,24.52,8.71,15.172,1890,,,
31,12/9/2023,16:18:45,24.5,8.72,15.369,1890,,,
32,12/9/2023,16:13:45,24.56,8.76,15.486,1890,,,
33,12/9/2023,16:08:45,24.57,8.83,14.581,1890,,,
34,12/9/2023,16:03:45,24.47,8.85,15.967,1881,,,
35,12/9/2023,15:58:45,24.53,8.74,15.099,1881,,,
36,12/9/2023,15:53:45,24.39,8.81,14.866,1881,,,
37,12/9/2023,15:48:45,24.78,8.79,14.087,1887,,,
38,12/9/2023,15:43:45,24.52,8.82,16.689,1887,,,
39,12/9/2023,15:38:45,24.19,8.84,15.604,1881,,,
40,12/9/2023,15:33:45,24.55,8.75,16.251,1887,,,
41,12/9/2023,15:28:45,24.46,8.77,16.129,1878,,,
42,12/9/2023,15:23:45,24.45,8.8,16.361,1872,,,
43,12/9/2023,15:18:45,24.35,8.76,15.063,1881,,,
44,12/9/2023,15:13:45,24.48,8.81,15.748,1887,,,
45,12/9/2023,15:08:45,24.33,8.78,14.56,1881,,,
46,12/9/2023,15:03:45,24.36,8.76,15.566,1887,,,
47,12/9/2023,14:58:45,24.39,8.75,15.938,1881,,,
48,12/9/2023,14:53:45,24.42,8.81,15.72,1872,,,
49,12/9/2023,14:48:45,24.41,8.63,15.406,1881,,,
50,12/9/2023,14:43:45,24.32,8.74,15.997,1881,,,
51,12/9/2023,14:33:45,24.28,8.63,14.881,1881,,,
52,12/9/2023,14:28:45,24.38,8.68,15.399,1890,,,
53,12/9/2023,14:23:45,24.35,8.67,15.61,1890,,,
54,12/9/2023,14:18:45,24.33,8.61,14.515,1881,,,
55,12/9/2023,14:13:45,24.16,8.72,15.035,1881,,,
56,12/9/2023,14:08:45,24.18,8.7,15.166,1881,,,
57,12/9/2023,14:03:45,24.31,8.63,15.121,1887,,,
58,12/9/2023,13:58:45,24,8.62,15.174,1887,,,
59,12/9/2023,13:53:45,24.08,8.63,15.339,1872,,,
60,12/9/2023,13:48:45,24.21,8.58,15.589,1872,,,
61,12/9/2023,13:43:45,24.09,8.72,15.367,1872,,,
62,12/9/2023,13:38:45,24.08,8.67,15.068,1872,,,
63,12/9/2023,13:33:45,24.15,8.66,14.918,1872,,,
64,12/9/2023,13:28:45,24.71,8.59,14.989,1872,,,
65,12/9/2023,13:23:45,24.06,8.57,15.508,1872,,,
66,12/9/2023,13:18:45,24,8.64,15.911,1872,,,
67,12/9/2023,13:13:45,24.08,8.63,15.232,1872,,,
68,12/9/2023,13:08:45,23.95,8.57,14.554,1872,,,
69,12/9/2023,12:58:45,23.79,8.6,15.889,1872,,,
70,12/9/2023,12:53:45,23.93,8.53,15.656,1872,,,
71,12/9/2023,12:48:45,23.68,8.45,12.577,1872,,,
72,12/9/2023,12:43:45,23.93,8.5,14.627,1872,,,
73,12/9/2023,12:38:45,23.88,8.51,14.328,1872,,,
74,12/9/2023,12:33:45,23.91,8.49,13.77,1872,,,
75,12/9/2023,12:23:45,23.64,8.4,14.397,1872,,,
76,12/9/2023,12:18:45,23.69,8.51,14.456,1872,,,
77,12/9/2023,12:13:45,23.75,8.41,14.022,1872,,,
78,12/9/2023,12:08:45,23.75,8.47,14.394,1863,,,
79,12/9/2023,12:03:45,23.8,8.46,13.813,1863,,,
80,12/9/2023,11:58:45,23.73,8.39,13.599,1863,,,
81,12/9/2023,11:53:45,23.62,8.35,13.475,1872,,,
82,12/9/2023,11:48:45,23.75,8.33,13.628,1872,,,
83,12/9/2023,11:43:45,23.65,8.3,13.519,1863,,,
84,12/9/2023,11:38:45,23.57,8.3,12.987,1872,,,
85,12/9/2023,11:33:45,23.61,8.32,13.687,1872,,,
86,12/9/2023,11:28:45,23.79,8.34,13.424,1863,,,
87,12/9/2023,11:23:45,23.74,8.29,13.665,1863,,,
88,12/9/2023,11:18:45,23.52,8.24,13.22,1863,,,
89,12/9/2023,11:13:45,23.66,8.27,12.891,1863,,,
90,12/9/2023,11:08:45,23.71,8.32,12.957,1863,,,
91,12/9/2023,11:03:45,23.46,8.16,13.593,1863,,,
92,12/9/2023,10:58:44,23.46,8.2,13.614,1863,,,
